id,name,type,path,line,description
torch/__init__.py:is_tensor,is_tensor,function,torch/__init__.py,1159,"Returns True if `obj` is a PyTorch tensor.

Args:
    obj (object): Object to test
Example::

    >>> x = torch.tensor([1, 2, 3])
    >>> torch.is_tensor(x)
    True"
torch/__init__.py:set_default_tensor_type,set_default_tensor_type,function,torch/__init__.py,1302,".. warning::

    This function is deprecated as of PyTorch 2.1, please use :func:`torch.set_default_dtype()` and
    :func:`torch.set_default_device()` as alternatives.

Sets the default ``torch.Tensor`` type to floating point tensor type
``t``. This type will also be used as default floating point type for
type inference in :func:`torch.tensor`.

The default floating point tensor type is initially ``torch.FloatTensor``.

Args:
    t (type or string): the floating point tensor type or its name

Example::

    >>> # xdoctest: +SKIP(""Other tests may have changed the default type. Can we reset it?"")
    >>> torch.tensor([1.2, 3]).dtype    # initial default for floating point is torch.float32
    torch.float32
    >>> torch.set_default_tensor_type(torch.DoubleTensor)
    >>> torch.tensor([1.2, 3]).dtype    # a new floating point tensor
    torch.float64"
torch/__init__.py:_check_tensor_all_with,_check_tensor_all_with,function,torch/__init__.py,1876,
torch/__init__.py:_check_tensor_all,_check_tensor_all,function,torch/__init__.py,1887,"Throws error containing an optional message if the specified condition
is False.

Error type: ``RuntimeError``

C++ equivalent: ``TORCH_CHECK_TENSOR_ALL``

Args:
    cond (:class:`torch.Tensor`): Tensor of dtype ``torch.bool``. If any
        element is ``False``, throw error

    message (Callable, optional): Callable that returns either a string or
        an object that has a ``__str__()`` method to be used as the error
        message. Default: ``None``"
torch/__init__.py:_tensor_classes,_tensor_classes,variable,torch/__init__.py,2148,Annotated variable _tensor_classes
torch/__init__.py:_as_tensor_fullprec,_as_tensor_fullprec,function,torch/__init__.py,2995,"Like torch.as_tensor, but when given Python data types it will keep
them in full precision.  Used for calling convention for Dynamo.
Python scalars (float, int) are always created on CPU to avoid being
affected by DeviceContext."
torch/_guards.py:fake_tensors,fake_tensors,variable,torch/_guards.py,1360,Annotated variable fake_tensors
torch/_jit_internal.py:_TensorExtractor,_TensorExtractor,class,torch/_jit_internal.py,1516,
torch/_jit_internal.py:_extract_tensors,_extract_tensors,function,torch/_jit_internal.py,1546,"This function is exclusively called from C++.
See ``torch/csrc/jit/python/python_ivalue.h``.

It extracts the tensors contained in the given object, through pickling."
torch/_jit_internal.py:tensors,tensors,variable,torch/_jit_internal.py,1553,Annotated variable tensors
